feature,window_mean,other_mean,mean_diff,window_std,other_std,std_ratio,window_median,other_median,median_diff,window_iqr,other_iqr,effect_size
VRR12,0.19191361904761908,18.682675818400295,-18.490762199352677,0.00010313509402258556,2.6475610969742824,3.8954754906658845e-05,0.191935,19.061713085,-18.869778085,9.199999999998099e-05,0.0010550199999990184,9.876971886051239
Temperature,288.0043190476191,178.41882252082232,109.58549652679679,0.30932302148247043,65.00790621388775,0.004758236950705034,287.9897,178.8819905,109.10770950000003,0.20420000000001437,112.30874730000001,2.383949123162438
Pressure,16.42835857142857,8.331913953317157,8.096444618111414,0.27083706890464065,4.820475203047872,0.05618472389849648,16.57498,8.337048815,8.237931185,0.10482999999999976,8.4190523365,2.3715653633284655
VRS02,0.07950485714285714,0.23637749895996976,-0.15687264181711263,2.9401166157629802e-05,0.0938803228951631,0.00031317705477740813,0.079504,0.234630175,-0.15512617499999998,4.700000000000537e-05,0.16146293062499997,2.363129636564225
VRS03,0.047026904761904756,0.05105747956514698,-0.004030574803242225,7.796595716202366e-05,0.0024451909366795953,0.03188529662020159,0.047002,0.05104777491,-0.004045774910000001,8.199999999999874e-05,0.004274421439999995,2.329946979791089
VRR23,0.051896,0.04999858359987343,0.0018974164001265698,0.00014897919317810834,0.0012515494742041324,0.11903484912120883,0.051922,0.050027226125000004,0.0018947738749999984,0.00016200000000000242,0.002171333822500003,2.1289696750116396
VRI01,1.7728475714285714,1.7670893214073984,0.005758250021173028,0.0007725110725050187,0.003758607731908234,0.20553063056849313,1.773167,1.7670542015000001,0.006112798499999794,0.0008859999999999424,0.006460783749999921,2.1222297840126774
VRS21,0.23068966666666668,0.23272051584874245,-0.0020308491820757724,0.00019429985417733568,0.0013512244269539696,0.14379433375993653,0.230682,0.23269766825,-0.002015668249999991,0.0003150000000000097,0.002357719300000005,2.1038583425445214
VRS31,0.2501112857142857,0.31631121757585334,-0.06619993186156764,0.00024510776055790897,0.045482618839080266,0.005389041196917444,0.250023,0.31582008825,-0.06579708825000002,0.0003949999999999787,0.07998351910000001,2.0583566935903552
VRR33,0.11130957142857142,0.11242311692669443,-0.0011135454981230086,0.00013998484611863233,0.0007554877148908636,0.1852882455625349,0.111273,0.11243237865,-0.0011593786500000008,0.00016800000000000148,0.001286081750000001,2.04954495548061
Flow2,14179.418251904759,13020.18414908868,1159.234102816079,551.941616594982,589.8911206855599,0.9356669345084725,14057.71451,13022.836104999998,1034.8784050000013,828.5245700000014,1005.8437500000018,2.0293591988955875
VRI03,0.004993952380952381,0.004996547046510698,-2.594665558316653e-06,3.8421224293232356e-07,2.174654460470504e-06,0.17586865560862044,0.004994,0.0049965839855,-2.583985499999761e-06,0.0,3.63317524999969e-06,1.6510460609727111
VRS01,0.034022857142857146,0.03388334860770456,0.00013950853515258543,3.5114506566781946e-05,0.00012980746047729671,0.2704913995211221,0.034019,0.03388455705,0.00013444295000000078,5.3999999999998494e-05,0.00022318402500000334,1.4670158287023822
VRI02,0.003070380952380952,0.0031776580625462194,-0.00010727711016526734,0.00013063938004693535,0.00010721254174302264,1.2183947323318935,0.003,0.0031782975695,-0.00017829756950000011,1.0000000000001327e-06,0.00018610387525000048,0.8976306531403598
VRR22,0.05869709523809524,0.05850187018737302,0.0001952250507222253,0.00011828858979711657,0.0005461384150324726,0.21658689568857106,0.058698,0.05848491966,0.00021308033999999781,0.0001429999999999973,0.0009447636324999981,0.49406241781529353
Flow1,4412.302860666667,4399.369898056509,12.932962610158029,58.91691356646207,57.26017297032425,1.0289335588753306,4412.651254,4399.746482500001,12.904771499999697,100.67215600000054,98.6675780000005,0.22261959156749198
