,window_mean,other_mean,abs_diff
Flow2,14179.418251904759,13020.18414908868,1159.234102816079
Temperature,288.0043190476191,178.41882252082232,109.58549652679679
VRR12,0.19191361904761908,18.682675818400295,18.490762199352677
Flow1,4412.302860666667,4399.369898056509,12.932962610158029
Pressure,16.42835857142857,8.331913953317157,8.096444618111414
VRS02,0.07950485714285714,0.23637749895996976,0.15687264181711263
VRS31,0.2501112857142857,0.31631121757585334,0.06619993186156764
VRI01,1.7728475714285714,1.7670893214073984,0.005758250021173028
VRS03,0.047026904761904756,0.05105747956514698,0.004030574803242225
VRS21,0.23068966666666668,0.23272051584874245,0.0020308491820757724
VRR23,0.051896,0.04999858359987343,0.0018974164001265698
VRR33,0.11130957142857142,0.11242311692669443,0.0011135454981230086
VRR22,0.05869709523809524,0.05850187018737302,0.0001952250507222253
VRS01,0.034022857142857146,0.03388334860770456,0.00013950853515258543
VRI02,0.003070380952380952,0.0031776580625462194,0.00010727711016526734
VRI03,0.004993952380952381,0.004996547046510698,2.594665558316653e-06
